iter	Passed	Remaining
678	9302	4397
679	9313	4382
680	9324	4367
681	9337	4353
682	9349	4339
683	9361	4324
684	9372	4309
685	9384	4295
686	9397	4281
687	9407	4266
688	9417	4250
689	9428	4236
690	9437	4220
691	9447	4205
692	9456	4189
693	9465	4173
694	9475	4158
695	9485	4143
696	9495	4127
697	9505	4112
698	9514	4097
699	9526	4082
700	9537	4068
701	9548	4053
702	9558	4038
703	9570	4024
704	9580	4009
705	9591	3994
706	9604	3980
707	9616	3966
708	9627	3951
709	9638	3936
710	9649	3922
711	9661	3907
712	9672	3893
713	9684	3879
714	9695	3864
715	9706	3850
716	9718	3835
717	9730	3821
718	9741	3807
719	9751	3792
720	9762	3777
721	9773	3763
722	9782	3748
723	9796	3734
724	9811	3721
725	9826	3708
726	9841	3695
727	9855	3682
728	9870	3669
729	9886	3656
730	9902	3644
731	9916	3630
732	9928	3616
733	9940	3602
734	9954	3589
735	9967	3575
736	9979	3561
737	9991	3547
738	10004	3533
739	10016	3519
740	10028	3505
741	10039	3490
742	10051	3476
743	10063	3462
744	10074	3448
745	10086	3434
746	10097	3420
747	10109	3405
748	10119	3391
749	10129	3376
750	10140	3362
751	10149	3347
752	10160	3332
753	10171	3318
754	10181	3304
755	10194	3290
756	10205	3275
757	10216	3261
758	10227	3247
759	10237	3232
760	10248	3218
761	10259	3204
762	10271	3190
763	10280	3175
764	10290	3161
765	10300	3146
766	10310	3132
767	10320	3117
768	10329	3102
769	10338	3088
770	10347	3073
771	10357	3058
772	10366	3044
773	10377	3030
774	10386	3015
775	10395	3000
776	10405	2986
777	10413	2971
778	10423	2957
779	10433	2942
780	10443	2928
781	10453	2914
782	10462	2899
783	10473	2885
784	10482	2871
785	10491	2856
786	10500	2841
787	10509	2827
788	10518	2812
789	10525	2798
790	10535	2783
791	10543	2768
792	10552	2754
793	10560	2739
794	10568	2725
795	10576	2710
796	10584	2695
797	10592	2681
798	10600	2666
799	10609	2652
800	10616	2637
801	10626	2623
802	10634	2608
803	10643	2594
804	10652	2580
805	10661	2566
806	10670	2551
807	10679	2537
808	10688	2523
809	10697	2509
810	10706	2495
811	10717	2481
812	10726	2467
813	10735	2452
814	10744	2438
815	10754	2424
816	10764	2411
817	10773	2397
818	10782	2383
819	10791	2368
820	10800	2354
821	10811	2341
822	10821	2327
823	10834	2314
824	10847	2301
825	10861	2287
826	10874	2274
827	10886	2261
828	10900	2248
829	10913	2235
830	10926	2222
831	10939	2209
832	10952	2195
833	10964	2182
834	10976	2169
835	10990	2155
836	11003	2142
837	11016	2129
838	11028	2116
839	11040	2103
840	11054	2090
841	11067	2076
842	11080	2063
843	11092	2050
844	11106	2037
845	11121	2024
846	11135	2011
847	11150	1998
848	11164	1985
849	11179	1972
850	11192	1959
851	11204	1946
852	11216	1933
853	11229	1919
854	11243	1906
855	11256	1893
856	11269	1880
857	11281	1867
858	11295	1854
859	11309	1841
860	11323	1827
861	11337	1815
862	11350	1801
863	11361	1788
864	11371	1774
865	11383	1761
866	11394	1747
867	11405	1734
868	11417	1721
869	11428	1707
870	11439	1694
871	11449	1680
872	11461	1667
873	11472	1653
874	11482	1640
875	11494	1627
876	11504	1613
877	11516	1600
878	11527	1586
879	11538	1573
880	11549	1560
881	11561	1546
882	11573	1533
883	11584	1520
884	11594	1506
885	11605	1493
886	11617	1479
887	11627	1466
888	11638	1453
889	11650	1439
890	11660	1426
891	11671	1413
892	11682	1399
893	11692	1386
894	11703	1373
895	11715	1359
896	11727	1346
897	11737	1333
898	11748	1319
899	11759	1306
900	11769	1293
901	11780	1279
902	11792	1266
903	11803	1253
904	11814	1240
905	11825	1226
906	11835	1213
907	11846	1200
908	11857	1187
909	11868	1173
910	11878	1160
911	11891	1147
912	11903	1134
913	11913	1120
914	11923	1107
915	11935	1094
916	11946	1081
917	11956	1068
918	11969	1054
919	11982	1041
920	11993	1028
921	12005	1015
922	12015	1002
923	12027	989
924	12038	976
925	12049	962
926	12061	949
927	12072	936
928	12082	923
929	12093	910
930	12105	897
931	12115	883
932	12128	870
933	12140	857
934	12151	844
935	12162	831
936	12172	818
937	12184	805
938	12195	792
939	12204	779
940	12215	765
941	12223	752
942	12234	739
943	12243	726
944	12252	713
945	12263	700
946	12272	686
947	12282	673
948	12291	660
949	12300	647
950	12310	634
951	12319	621
952	12328	608
953	12337	594
954	12347	581
955	12357	568
956	12366	555
957	12376	542
958	12385	529
959	12394	516
960	12404	503
961	12414	490
962	12424	477
963	12433	464
964	12443	451
965	12453	438
966	12462	425
967	12472	412
968	12482	399
969	12492	386
970	12503	373
971	12512	360
972	12521	347
973	12531	334
974	12540	321
975	12551	308
976	12560	295
977	12570	282
978	12580	269
979	12589	256
980	12599	244
981	12609	231
982	12619	218
983	12628	205
984	12638	192
985	12647	179
986	12658	166
987	12667	153
988	12676	140
989	12686	128
990	12695	115
991	12705	102
992	12714	89
993	12724	76
994	12733	63
995	12742	51
996	12753	38
997	12761	25
998	12772	12
999	12782	0
